title,released,genres,description,link
A Bigger World,2020,drama film/film based on literature,practice that involves a practitioner reaching altered states of consciousness in order to perceive and interact with what they believe to be a spirit world,http://www.wikidata.org/entity/Q76400523
A Family Recipe,2020,documentary film,"artistic representation of one or more persons/activities performed as a means of support/qualities, beliefs, personality, looks and/or expressions that distinguish a person or group",http://www.wikidata.org/entity/Q107613853
A Perfectly Normal Family,2020,comedy film,gender identity other than sex assigned at birth,http://www.wikidata.org/entity/Q61711133
A Quiet Place: Part II,2020,horror film/post-apocalyptic film,common theme in science fiction stories and film,http://www.wikidata.org/entity/Q53911403
A Secret Love,2020,documentary film,American baseball player,http://www.wikidata.org/entity/Q93486264
A Song Called Hate,2020,documentary film,annual song competition held among the member countries of the European Broadcasting Union/field of work focused on creating expressive work intended to be appreciated for its beauty or emotional power (use Q838948 for the resulting work)/aspect of freedom/Icelandic band and performance art group,http://www.wikidata.org/entity/Q110869210
Aalto,2020,documentary film,Finnish architect and designer (1898–1976),http://www.wikidata.org/entity/Q98725992
About Endlessness,2020,drama film,fundamental characteristics of human beings/characteristics and key events that compose the essentials of human existence/total world population of humans,http://www.wikidata.org/entity/Q31899662
Above the Shadows,2020,romance film,full-contact combat sport,http://www.wikidata.org/entity/Q64018080
"Acasă, My Home",2020,documentary film,urban socioeconomic process/social incorporation of outgroups/type of social organization where people interact within the urban environment/movement of a large group of people from one region to another/society shaped by a rural environment and the relevant economic activities,http://www.wikidata.org/entity/Q101090249
Advantages of Travelling by Train,2020,drama film/comedy film/thriller film/black comedy film,"in psychology, totality of human consciousness/level of psychological well-being/social and cultural activity of sharing stories, often with improvisation, theatrics, or embellishment/literary form characterized by the description of a sequence of events in a certain order/certainty about the origin or precedence attributed to an object, concerning the originality, the author, the nationality, the place, time, or method of manufacturing or acquisition, the applicable law and jurisdiction, etc.",http://www.wikidata.org/entity/Q73223275
Adventures of a Mathematician,2020,historical film,"field of study/World War 2 American R&D program that produced the first nuclear weapons/person who has exceptional intellectual ability, creativity, or originality/Polish-American mathematician/addressing ethical aspects of scientific research/bomb using energy from nuclear reaction; explosive device intended to be dropped from an aircraft and using energy from nuclear reaction/academic and policy-relevant field on problems associated with the nuclear weapons and energy complex",http://www.wikidata.org/entity/Q100783666
After Midnight,2020,horror film/monster film,geographic area that is located outside towns and cities/physical or emotional intimacy between humans/emotion/conflict caused by interpersonal incompatibilities in an intimate relationship,http://www.wikidata.org/entity/Q64678948
Alex Wheatle,2020,biographical film,British writer,http://www.wikidata.org/entity/Q100278859
All In: The Fight for Democracy,2020,documentary film,efforts used in the US to prevent eligible voters from exercising their right to vote,http://www.wikidata.org/entity/Q96419601
American Murder: The Family Next Door,2020,documentary film/crime film,murders by Chris Watts of his wife and daughters in Colorado in 2018,http://www.wikidata.org/entity/Q100097551
Ammonite,2020,drama film/LGBT-related film,"British fossil collector, dealer, and paleontologist (1799-1847)/romantic concept of moving from a feeling of neutrality towards a person to one of love/sexuality/formation of a close personal relationship between women/British geologist (1788-1869)",http://www.wikidata.org/entity/Q60836025
Amulet,2020,horror film,"profound immorality/doctrine that describes how human beings can be reconciled to God/renunciation or cessation of resentment, indignation or anger/set of qualities, characteristics or roles traditionally associated with femaleness/harmful action in response to a grievance/social relations between the genders (or sexes); cfr. class relations/process of dealing with one's own past as a topic in psychology and the arts",http://www.wikidata.org/entity/Q65041276
And Then We Danced,2020,drama film/LGBT-related film,"cultural, social, and political philosophy that seeks to promote and to preserve traditional social institutions and practices/effort to procure economic and social rights, political rights or equality/attributes associated with boys and men/will to succeed/culture of the country of Georgia/process by which a young adult tries to define their life goals, their place in society, and their own world view/romantic concept of moving from a feeling of neutrality towards a person to one of love/romantic attraction, sexual attraction, or sexual behavior between two men/type of dance",http://www.wikidata.org/entity/Q63800585
And Tomorrow the Entire World,2020,drama film,expression of objection/decentralised informal network of anti-fascist groups focusing on the radical struggle against the far right/social process by which people arrive at extreme views/lifestyles perceived to be outside the cultural norm,http://www.wikidata.org/entity/Q97786487
Ane Is Missing,2020,drama film/thriller film,"use of violence as a form of political, economic and religious coercion/social and emotional relationship between a parent and their child",http://www.wikidata.org/entity/Q99934643
Anelka: Misunderstood,2020,documentary film/association football film,French association football player,http://www.wikidata.org/entity/Q98709184
Another Round,2020,drama film/comedy film,"broad term for problems with alcohol/person who helps others to acquire knowledge, competences or values/state or event of not meeting a desired or intended objective/transition of identity and self-confidence/drinking of ethanol in drinks containing it",http://www.wikidata.org/entity/Q69303989
Arab Blues,2020,comedy film,"group of people related to each other through persistent relations/psychological theory that was founded in 1890 by the Viennese neurologist Sigmund Freud/process by which a young adult tries to define their life goals, their place in society, and their own world view/forced or promoted return of non-ethnically European immigrants and their descendents back to their place of racial origin regardless of citizenship status/pattern of human activity and symbolism associated with Tunisia and its people",http://www.wikidata.org/entity/Q67761708
Artemis Fowl,2020,action film/adventure film/science fantasy/film based on a novel,"ancient Egyptian stele with inscriptions in three writing systems/8th-century illuminated manuscript Gospel book, held in Trinity College, Dublin/medieval musical instrument used as a model for the coat of arms of Ireland",http://www.wikidata.org/entity/Q12302227
Asia,2020,drama film,"lifecycle role, generally for females",http://www.wikidata.org/entity/Q92932680
Assandira,2020,drama film/thriller film,Italian anthropologist and writer,http://www.wikidata.org/entity/Q107001222
Athlete A,2020,documentary film,sexual abuse of female athletes by people in the industry,http://www.wikidata.org/entity/Q96372504
Attack,2020,cyberpunk/action thriller,exodus of Hindus from the Kashmir Valley in the 1990s,http://www.wikidata.org/entity/Q83615923
BNK48: One Take,2020,documentary film,,http://www.wikidata.org/entity/Q95756215
Babyteeth,2020,romance film/coming-of-age fiction,transitional stage of physical and psychological development/final process of life/social and emotional relationship between a parent and their child/incurable disease unable to be treated that will almost certainly result in the patient's death/developmental process for adolescents to become independent/patterned use of a drug in which the user consumes the psychoactive/chemical substance substances in amounts or with methods which are harmful to themselves or others/a malignant tumor that occurs in children/significant event in a person's life/brief but emotionally close or intimate interaction between two or more persons,http://www.wikidata.org/entity/Q66712802
Bacurau,2020,drama film/science fiction film/Weird West/neo-Western,"form of dishonesty or criminal offense undertaken by a person or organization entrusted with a position of authority, to acquire illicit benefit or abuse power for one's private gain/use of physical force or power for coercion or as punishment/unlawful killing of a human with malice aforethought/organized effort to withstand a government or an occupying power/unity of feeling or action on a common interest/social relationship in which one agent takes unfair advantage of another agent",http://www.wikidata.org/entity/Q63246555
Ballad of a White Cow,2020,drama film,"legal process whereby a person is put to death by the state as a punishment for an actual or supposed crime/renunciation or cessation of resentment, indignation or anger/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/conviction and punishment of a person for a crime they did not commit/one of the three forces in Islamic republic of Iran/end cause of marriage, significant event",http://www.wikidata.org/entity/Q85973822
Beanpole,2020,drama film/war film,"period after the conclusion of World War II/lifecycle role, generally for females/peaceful efforts after war, often including financial aid, made by governments to promote recovery and development of a war torn country or state/psychological trauma that occurs as a result from war experiences in combatants, civilists or population groups",http://www.wikidata.org/entity/Q63985408
Becoming,2020,documentary film,lawyer and former First Lady of the United States,http://www.wikidata.org/entity/Q94244505
Becoming Duru,2020,documentary film,Turkish singer and actress,http://www.wikidata.org/entity/Q105695199
Belly of the Beast,2020,documentary film,"race or ethnic-based discrimination/prevention of disease and promotion of wellbeing of humans and animals/prejudice or discrimination based on a person’s sex or gender/Female prison in Chowchilla, California",http://www.wikidata.org/entity/Q104865093
Berlin Alexanderplatz,2020,drama film,"migration of people across national borders in a way that violates the immigration laws of the destination country/crime involving illicit drugs/social class formed by people suffering from precarity/overview of immigration to Germany/dichotomy in religion, ethics, and philosophy/following of expected standards of good or ethical behavior/people that belong to social community but are not fully incorporated/dichotomy in philosophy, sociology, art and literature",http://www.wikidata.org/entity/Q67400758
Betrayed,2020,drama film/historical film,1939–1945 global conflict/one who survived the Holocaust,http://www.wikidata.org/entity/Q102015061
Better Days,2020,teen film/romantic drama film,type of bullying that occurs in an educational setting,http://www.wikidata.org/entity/Q56272081
Beyond the Infinite Two Minutes,2020,comedy film,"ability of agents to make choices free from certain kinds of external constraints/theoretical paradox resulting from time travel/philosophical belief that all events are determined completely by previously existing causes/hypothetical activity of traveling into the past or future/ability to gain information about an object, person, location or physical event through extrasensory perception",http://www.wikidata.org/entity/Q97167716
Beyond the Visible - Hilma af Klint,2020,documentary film/biographical film,Swedish artist (1862–1944),http://www.wikidata.org/entity/Q83482847
Big vs Small,2020,documentary film,sport that consists of riding a wave,http://www.wikidata.org/entity/Q107547873
Bill & Ted Face the Music,2020,comedy film/science fiction film/time-travel film,"art/activity of creating art using sound/hypothetical activity of traveling into the past or future/ideal of freedom, peace, and happiness among and within all nations and people/occupation to which a person is specially drawn or for which they are suited, trained, or qualified/event leading to Earth or Humanity going extinct",http://www.wikidata.org/entity/Q62124699
Billie,2020,documentary film/biographical film/musical film,American jazz singer (1915–1959),http://www.wikidata.org/entity/Q99971331
Blackpink: Light Up The Sky,2020,documentary film,South Korean girl group,http://www.wikidata.org/entity/Q98976340
Bones of Contention,2020,documentary film,,http://www.wikidata.org/entity/Q96832635
Borealis,2020,documentary film,Canadian region characterized by coniferous forests,http://www.wikidata.org/entity/Q111937501
Boss Level,2020,action film/science fiction film,plot device in science fiction,http://www.wikidata.org/entity/Q54894945
Brave Blue World,2020,documentary film,water safe for consumption,http://www.wikidata.org/entity/Q100952037
Bruised,2020,drama film,full-contact combat sport,http://www.wikidata.org/entity/Q96374040
Bunty Aur Babli 2,2020,romantic comedy/crime-comedy film,attempt to defraud a person or group after first gaining their confidence,http://www.wikidata.org/entity/Q79821532
Caged Birds,2020,drama film,"ability of individuals to have agency/strict form of imprisonment/riot in Switzerland/detention of a person/thoughts, ideas, or ruminations about the possibility of ending one's life/Swiss criminal",http://www.wikidata.org/entity/Q108650361
Capone,2020,drama film/biographical film/gangster film,American gangster,http://www.wikidata.org/entity/Q51093046
Charlatan,2020,drama film/biographical film/historical film,"form of alternative medicine, drugless system of therapy/Czech herbalist/classification of same-sex sexual acts as a criminal offence",http://www.wikidata.org/entity/Q82936372
Chhalaang,2020,comedy film/black comedy film/social problem film/social comedy film,contact team sport,http://www.wikidata.org/entity/Q62073359
Claire de Lune,2020,fiction film,"group of people affiliated by consanguinity, law, affinity, or co-residence/qualities, beliefs, personality, looks and/or expressions that distinguish a person or group",http://www.wikidata.org/entity/Q107613973
Class Action Park,2020,documentary film/crime film,amusement park,http://www.wikidata.org/entity/Q99519749
Cocoon,2020,drama film/romance film/coming-of-age fiction/LGBT-related film,"relationship between people who have mutual affection for each other/transition from a sexually immature child to a sexually mature adult/demographic classification/set of qualities, characteristics or roles traditionally associated with femaleness/how a person thinks of oneself with regard to romantic and sexual orientation and behaviour/relationship between siblings/process by which a young adult tries to define their life goals, their place in society, and their own world view/romantic concept of moving from a feeling of neutrality towards a person to one of love/formation of a close personal relationship between women/negative feelings from experiencing unrequited love or loss of love/brief but emotionally close or intimate interaction between two or more persons",http://www.wikidata.org/entity/Q84844242
Colonia Dignidad,2020,documentary film,German religious colony in Chile lead by Paul Schäfer that served as a torture site under the Pinochet dictatorship,http://www.wikidata.org/entity/Q88679673
Coming Clean,2020,documentary film,"ongoing and extensive overuse of opioid medications, both from medical prescriptions and from illegal sources, which began in the United States in the late 1990s, when opioids were increasingly prescribed for pain management",http://www.wikidata.org/entity/Q110472648
Coolie No. 1,2020,romantic comedy,labourer from Asia,http://www.wikidata.org/entity/Q65081543
Corona,2020,drama film,ongoing global pandemic of coronavirus disease 2019,http://www.wikidata.org/entity/Q92801637
Corpus Christi,2020,drama film,"Abrahamic monotheistic religion/philosophical and theological term/reestablishment of friendly relations/renunciation or cessation of resentment, indignation or anger/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/state of emotions of a person to whom something irreversible happened that leads to a feeling of sadness or regret; most often occurring e.g. after a beloved one died, or a long relationship split up/hurtful condition of having lost something or someone/process of dealing with one's own past as a topic in psychology and the arts",http://www.wikidata.org/entity/Q66758332
Created Equal: Clarence Thomas in His Own Words,2020,documentary film,Associate Justice of the Supreme Court of the United States since 1991,http://www.wikidata.org/entity/Q118202948
Crip Camp,2020,documentary film,a global social movement that seeks to secure equal opportunities and equal rights for all people with disabilities/summer camp for disabled people,http://www.wikidata.org/entity/Q90340902
Critical Thinking,2020,drama film,"strategy board game/high school in Miami-Dade County, Florida, United States",http://www.wikidata.org/entity/Q66828799
Cunningham,2020,documentary film/biographical film/musical film,"American choreographer, dancer, experimental filmmaker, teacher",http://www.wikidata.org/entity/Q75823148
Curveball,2020,comedy film/crime film/thriller film,Iraqi defector/2003 military invasion led by the United States/foreign intelligence agency of Germany/U.S. claims and arguments for invading Iraq/government agency concerned with the gathering of intelligence data,http://www.wikidata.org/entity/Q85705850
Daniel,2020,drama film/biographical film/film based on literature,Danish photographer,http://www.wikidata.org/entity/Q55749061
Dara of Jasenovac,2020,drama film/war film/historical film,concentration camp run by the Ustaše in Independent State of Croatia during World War II.,http://www.wikidata.org/entity/Q65195830
Dark Waters,2020,historical film/drama film/biographical film,"American environmental lawyer/potentially adverse or negative health consequence due to a specific event, disease, condition, or hazard/form of dishonesty or criminal offense undertaken by a person or organization entrusted with a position of authority, to acquire illicit benefit or abuse power for one's private gain/introduction of contaminants into the natural environment that cause adverse change/failure to exercise the care that a reasonably prudent person would exercise in like circumstances/American multinational chemical company/class of compounds/civil action brought in a court of law",http://www.wikidata.org/entity/Q60617937
David Attenborough: A Life on Our Planet,2020,documentary film/nature documentary,British broadcaster and naturalist (born 1926),http://www.wikidata.org/entity/Q100613366
De stad was van ons,2020,documentary film,approach to feminism influenced by lesbian movement,http://www.wikidata.org/entity/Q102422911
Death of a Ladies’ Man,2020,drama film,attributes associated with boys and men/incurable disease unable to be treated that will almost certainly result in the patient's death/patterned use of a drug in which the user consumes the psychoactive/chemical substance substances in amounts or with methods which are harmful to themselves or others/awareness by an individual that their death is inevitable/cultural norms associated with men that are harmful to society and to men themselves/process of dealing with one's own past as a topic in psychology and the arts,http://www.wikidata.org/entity/Q105928969
Death to 2020,2020,comedy film/mockumentary/pseudo-documentary,year,http://www.wikidata.org/entity/Q104013554
Deep Blue Sea 3,2020,horror film,superorder of predatory cartilaginous fish,http://www.wikidata.org/entity/Q96376122
Detention,2020,horror film,Taiwan martial law and suppression period,http://www.wikidata.org/entity/Q65060873
Die Rüden,2020,drama film,"use of physical force or power for coercion or as punishment/overt, often harmful, social interaction with the intention of inflicting damage or unpleasantness/fundamental characteristics of human beings/attributes associated with boys and men/ability to regulate one's emotions, thoughts, and behavior in the face of temptations and impulses/cultural norms associated with men that are harmful to society and to men themselves",http://www.wikidata.org/entity/Q87374571
Dil Bechara,2020,tragicomedy/comedy drama/romance film/coming-of-age fiction/romantic drama,group of diseases involving abnormal cell growth and spread,http://www.wikidata.org/entity/Q55648020
Dirty Laundry,2020,fiction film,artistic representation of one or more persons/activities performed as a means of support,http://www.wikidata.org/entity/Q107613852
Disclosure: Trans Lives on Screen,2020,documentary film/LGBT-related film/transgender film,gender identity other than sex assigned at birth,http://www.wikidata.org/entity/Q84366473
Doctor Lisa,2020,drama film/biographical film,Russian physician (1962-2016),http://www.wikidata.org/entity/Q65154239
Dwellers,2020,horror film/cinéma vérité/monster film/found footage,circumstance when people desire a permanent dwelling but do not have one/film genre,http://www.wikidata.org/entity/Q59209403
Ema,2020,drama film,"rhythmic movement of the body/form in which people experience and express themselves sexually/process whereby a person assumes the parenting for a child born by other parents/music genre/lifestyles perceived to be outside the cultural norm/desire of people to have children/hurtful condition of having lost something or someone/state of being a parent and the responsibilities involved; the position, function, or standing of a parent",http://www.wikidata.org/entity/Q56276462
Emicida: AmarElo - It's All for Yesterday,2020,documentary film/concert film,Brazilian rapper,http://www.wikidata.org/entity/Q104626509
Enfant Terrible,2020,biography/biographical film,"field of work focused on creating expressive work intended to be appreciated for its beauty or emotional power (use Q838948 for the resulting work)/German filmmaker, playwright and actor (1945-1982)/artistic direction of a performance work, film or television show/filmmaking in the broadest sense, including pre-production and post-production/process during which a work of art comes into being",http://www.wikidata.org/entity/Q82299296
Enormous,2020,comedy film,time of human offspring development in mother's body,http://www.wikidata.org/entity/Q94768194
Eso que tú me das,2020,documentary film,Spanish singer-songwriter and musician,http://www.wikidata.org/entity/Q107099213
Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,documentary film/war film/biographical film/historical film,Austrian-German Nazi officer in the Waffen-SS,http://www.wikidata.org/entity/Q121832674
Everything is one. Except for the 0,2020,documentary film,Germany based hackers organization,http://www.wikidata.org/entity/Q101578916
Exclusion Zone,2020,thriller film,1986 nuclear accident in the Soviet Union,http://www.wikidata.org/entity/Q103842134
Exile,2020,drama film,"event by which a person is forced away from home/bullying of an individual by a group/social, emotional, cognitive and behavioral skills needed for successful social adaptation/lack of trust, suspicious and cautious attitude/ethnic group/form of social disadvantage and relegation to the fringe of society",http://www.wikidata.org/entity/Q77717298
Expedición Tribugá,2020,documentary film/nature documentary,departamento de Colombia/Gulf on the Pacific coast of Colombia,http://www.wikidata.org/entity/Q103964875
Faith Based,2020,comedy film,"scheme to obtain high rates of return for a small investment, with a false impression that participants can obtain this high rate of return with little risk, and with little skill, effort, or time",http://www.wikidata.org/entity/Q104842488
Falling,2020,drama film/LGBT-related film,"consists of ages nearing or surpassing the life expectancy of human beings/concept found in moral, political, and bioethical philosophy/attributes associated with boys and men/social and emotional relationship between a parent and their child/interdependence as part of human social relations/social role encompassing a range of behaviors and attitudes that are generally considered acceptable, appropriate, or desirable for people based on their actual or perceived sex or sexuality/relationship between a father and his child/social relations between the genders (or sexes); cfr. class relations",http://www.wikidata.org/entity/Q65084732
"Family Romance, LLC",2020,drama film,"group of people affiliated by consanguinity, law, affinity, or co-residence/strong, deep, or close association or acquaintance between two or more people/process of making, adapting, or imitating objects, statistics, or documents with the intent to deceive/changing of one's behaviour to assume a role/concept in existential psychology and philosophy/service that provides clients with actor(s) who portray friends, family members, or coworkers",http://www.wikidata.org/entity/Q64768559
Fantastic Fungi,2020,documentary film,"biological kingdom, separate from plants and animals",http://www.wikidata.org/entity/Q75206334
Feels Good Man,2020,documentary film,technique in art/the cultural process by which a group reclaims words or artifacts that were previously used in a way disparaging of that group/comic character and Internet meme/American comic artist,http://www.wikidata.org/entity/Q84427809
Fireball: Visitors from Darker Worlds,2020,documentary film,piece of solid matter from outer space that has hit the earth,http://www.wikidata.org/entity/Q104936893
Fox in a Hole,2020,drama film,,http://www.wikidata.org/entity/Q101005247
Free Way,2020,documentary film,catalan chef,http://www.wikidata.org/entity/Q111329403
French Exit,2020,comedy film/film based on a novel,consists of ages nearing or surpassing the life expectancy of human beings/state of being unable to pay the debts at maturity by a person or company/social and emotional relationship between a parent and their child/behavior and life style of people with the highest levels of wealth and social status/awareness by an individual that their death is inevitable,http://www.wikidata.org/entity/Q65067029
Fried Barry,2020,comedy film/horror film/science fiction film/road movie,"need for a drug, whose discontinuation results in withdrawal symptoms/type of social organization where people interact within the urban environment/use of a drug with the primary intention to alter the state of consciousness",http://www.wikidata.org/entity/Q99196664
Friend of the World,2020,horror film/comedy horror/science fiction film/experimental film/comedy drama/art film/surrealist cinema/post-apocalyptic film/absurdist fiction/thriller film/zombie film/satirical film or television program/black comedy film/psychedelic film/body horror film,future time-period described variously in the eschatologies of several world religions/risks of hypothetical future events that have the potential to harm humans and humanity on a global scale,http://www.wikidata.org/entity/Q107791285
GIMS: On the Record,2020,documentary film/musical film,Congolese-French singer-songwriter and rapper,http://www.wikidata.org/entity/Q99507704
Gagarine,2020,drama film,"mental ability to produce and simulate novel objects, people and ideas in the mind without any immediate input of the senses/construction and assignment of houses or buildings for sheltering people/planned, socially-cohesive, residential community/live (in a certain place)/housing project in Ivry-sur-Seine, France",http://www.wikidata.org/entity/Q100719246
Gavran 101,2020,documentary film/war film,Croatian defender,http://www.wikidata.org/entity/Q87718896
Gaza mon amour,2020,comedy/drama film/romance film,"ritual, period in a couple's relationship which precedes their engagement and marriage/unmarried man socially regarded as able to marry/expressing one's love for someone or something",http://www.wikidata.org/entity/Q102410713
Girant per Sant Antoni,2020,documentary film,"human settlement in Eixample, Barcelona, Barcelonès, Spain/building in Barcelona Province, Spain",http://www.wikidata.org/entity/Q111264177
Gracious Night,2020,drama film,"killing of a human being by another human being. Use as value for ""manner of death"" (P1196)/strong, deep, or close association or acquaintance between two or more people/situation in which two or more persons meet/viral outbreak in Finland/conflict caused by interpersonal incompatibilities in an intimate relationship",http://www.wikidata.org/entity/Q104423550
Graduation Afternoon,2020,science fiction film/film based on literature,short story by Stephen King,http://www.wikidata.org/entity/Q63606593
Greenland,2020,drama film/action film/disaster film/thriller film/speculative/fantastic fiction film/apocalyptic film,collision of two astronomical objects with measurable effects/urgent movement of people away from the threat or actual occurrence of a hazard,http://www.wikidata.org/entity/Q73897733
Gretel and Hansel,2020,fantasy film/horror film/thriller film/film based on literature,"ability to influence the behavior of others/rituals or actions employed to manipulate natural or supernatural beings and forces/concept found in moral, political, and bioethical philosophy/set of qualities, characteristics or roles traditionally associated with femaleness/process by which a young adult tries to define their life goals, their place in society, and their own world view",http://www.wikidata.org/entity/Q63994491
Guillermo Vilas: Settling the Score,2020,documentary film,Argentine tennis player,http://www.wikidata.org/entity/Q101067885
Gumnaami,2020,action film,The death of and subsequent theories about Subhas Chandra Bose/an ascetic believed to be as Subhas Chandra Bose,http://www.wikidata.org/entity/Q63846086
Gunda,2020,documentary film,"branch of agriculture concerned with animals that are raised for meat, fiber, milk, or other products/consideration of non-human animals in morality/animal that is used by the people economically/phenomenon studied by anthrozoology and practiced by animal attendants and others",http://www.wikidata.org/entity/Q99059867
Gunjan Saxena: The Kargil Girl,2020,drama film/war film/biographical film,air warfare branch of India's military/1999 India–Pakistan conflict/women participating in military activities,http://www.wikidata.org/entity/Q65065630
Guns Akimbo,2020,comedy film/action film/action comedy film,"purposeful violent conflict/culture that has emerged, or is emerging, from the use of computer networks/criminal offense of obtaining benefit through coercion/presentations of violence in the media, for example through images, descriptions or recordings/combat for entertainment purposes",http://www.wikidata.org/entity/Q55080292
Hamilton,2020,musical film,American Founding Father and statesman (1755/1757–1804),http://www.wikidata.org/entity/Q84323848
Happy birthday Mr. Bean!,2020,documentary film/comedy film,British comedy television series (1990–1995),http://www.wikidata.org/entity/Q110263660
Harriet,2020,drama film/historical film,African-American abolitionist and humanitarian/form of slave labor which existed as a legal institution from the early years of the United States/network of secret routes & safehouses in 19th-century U.S. used by slaves to find freedom/aspect of history,http://www.wikidata.org/entity/Q30609465
Havel,2020,drama film/biographical film/historical film,"Czech statesman, playwright, and former dissident, the last president of Czechoslovakia and the first president of the Czech Republic (1936–2011)/the history of czechoslovakia during the cold war",http://www.wikidata.org/entity/Q83827679
Helmut Newton - The Bad And The Beautiful,2020,documentary film,German-Australian photographer (1920–2004),http://www.wikidata.org/entity/Q84488352
Hi My Name is Jonny Polonsky,2020,documentary film,American musician,http://www.wikidata.org/entity/Q105207355
"Hi, My Name Is Dicky",2020,documentary film/sport film,"Canadian ice hockey player/mental disorder involving the abuse or dependence on a substance that is ingested in order to produce a high, alter one's senses, or otherwise affect functioning",http://www.wikidata.org/entity/Q104177610
Hold-Up,2020,documentary film/propaganda film,ongoing global pandemic of coronavirus disease 2019,http://www.wikidata.org/entity/Q101435417
Home,2020,drama film,"renunciation or cessation of resentment, indignation or anger/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/young person with criminal background/social and emotional relationship between a parent and their child/penological process to make a person again a functional part of society/form of social disadvantage and relegation to the fringe of society/death of a parent or another person in this role/process of dealing with one's own past as a topic in psychology and the arts/imprisonment of a young person",http://www.wikidata.org/entity/Q100349419
Homemade,2020,anthology film,ongoing global pandemic of coronavirus disease 2019,http://www.wikidata.org/entity/Q96695292
Horror Noire: A History of Black Horror,2020,documentary film,film genre,http://www.wikidata.org/entity/Q99574186
I Am Greta,2020,documentary film,"change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent/Swedish climate protection activist (born 2003)",http://www.wikidata.org/entity/Q98078619
I Believe That More Light Will Not be Needed,2020,documentary film/biographical film,Czech student who killed himself by self-immolation in protest (1948–1969),http://www.wikidata.org/entity/Q104898428
I am Samuel,2020,documentary film,"lesbian, gay, bisexual, and transgender persons/man who is sexually or romantically attracted to other men",http://www.wikidata.org/entity/Q114420751
Identifying Features,2020,drama film/road movie,"groupings of highly centralized criminal enterprises/taking or attempting to take something of value by force or threat of force or by putting the victim in fear/use of physical force or power for coercion or as punishment/person who has disappeared and whose status as alive or dead cannot be confirmed/process of development of a close, interpersonal relationship/set of methods, means, initiatives, organizational tools, aimed at finding people or things/immigration to the United States from Mexico",http://www.wikidata.org/entity/Q98313627
Illegal Woman,2020,drama film/thriller film,movement of people into another country or region to which they are not native,http://www.wikidata.org/entity/Q104180428
In Search of Darkness: Part II,2020,documentary film,film genre,http://www.wikidata.org/entity/Q107121497
Indoo Ki Jawani,2020,comedy film/coming-of-age fiction,virtual online communities,http://www.wikidata.org/entity/Q77894201
Inside the Red Brick Wall,2020,documentary film/historical film,"active, professed refusal to obey certain laws, demands, and commands of a government, or of an occupying international power/2019 conflict between Hong Kong police and protesters at Hong Kong Polytechnic University",http://www.wikidata.org/entity/Q105982358
Into the Deep: The Submarine Murder Case,2020,documentary film/crime film,2017 murder in Denmark,http://www.wikidata.org/entity/Q104830609
Isadora's Children,2020,drama film/dance film,"American dancer and choreographer/state of emotions of a person to whom something irreversible happened that leads to a feeling of sadness or regret; most often occurring e.g. after a beloved one died, or a long relationship split up/genre of western concert or theatrical dance/behaviors that communicate an emotional state or attitude/significant event in a person's life",http://www.wikidata.org/entity/Q85026299
Jay Sebring....Cutting to the Truth,2020,documentary film,Hair stylist and murder victim (1933-1969),http://www.wikidata.org/entity/Q107349113
Jexi,2020,comedy film,mobile software agent,http://www.wikidata.org/entity/Q60738303
Jojo Rabbit,2020,drama film/comedy film/war film/comedy drama,"1939–1945 global conflict/genocide of European Jews by Nazi Germany carried out during the second world war/fascist, antisemitic, nationalist, anti-communist, totalitarian ideology of the regime that ruled Germany from 1933 to 1945/phenomenon where a friendship or other interpersonal relationship takes place in imagination",http://www.wikidata.org/entity/Q54862508
Judy,2020,drama film/musical film,American actress and singer (1922–1969),http://www.wikidata.org/entity/Q55615419
Jumbo,2020,drama film,"strong, positive emotion based on affection/ability of individuals to have agency/practice of allowing or permitting a thing, person, or idea of which one disapproves/form of sexuality focused on particular inanimate objects/action or behavior that violates social norms/state of being ""normal"", as opposed to being deviant, eccentric or unusual. Behavior can be normal for an individual (intrapersonal normality) when it is consistent with the most common behaviour for that person",http://www.wikidata.org/entity/Q95753983
Jäänsärkijä,2020,documentary film,Finnish ice hockey player,http://www.wikidata.org/entity/Q110955045
K'i Tah Amongst the Birch,2020,documentary film,Indigenous peoples within the boundaries of Canada/knowledge systems in the cultural traditions of communities/ongoing global pandemic of coronavirus disease 2019,http://www.wikidata.org/entity/Q101237844
Kajillionaire,2020,crime film/coming-of-age fiction,"group of people affiliated by consanguinity, law, affinity, or co-residence/set of behaviours, rights, obligations, beliefs, and norms expected from an individual that has a certain social status/process of weakening an emotional bond or dependency, e.g. when children gain independence from their parents/condition in social relationships/social and emotional relationship between a parent and their child/process by which a young adult tries to define their life goals, their place in society, and their own world view/form of society/process of development of a close, interpersonal relationship/attitude that supports behaviour that does not conform to the norms of a group or society/lifestyles perceived to be outside the cultural norm/someone who commits fraud after gaining someone's trust",http://www.wikidata.org/entity/Q54868299
